ID	DOCULECT	TOKENS	ALIGNMENT	COGID
163	French	f y m e	f y m e	612
164	Latin	f uː m o	f uː m o	612
165	English	θ ɪ ŋ k	θ ɪ ŋ k	636
166	German	d e ŋ k	d e ŋ k	636
167	English	s o	s o - -	644
168	French	k u z	k u z -	644
169	Latin	s u e	s u - e	644
170	Albanian	c i e ł	- c i e ł -	650
171	French	s j ɛ l	s j ɛ - l -	650
172	Latin	k ae l o	- k ae - l o	650
173	Albanian	ɟ a r p ə r	ɟ a r p ə r	656
174	French	s ɛ r p ɑ̃	s ɛ r p ɑ̃ -	656
175	English	w ɑ ʃ	w ɑ ʃ	666
176	German	v a ʃ	v a ʃ	666
177	Albanian	l a	l a - -	667
178	French	l a v e	l a v e	667
179	Latin	l a w aː	l a w aː	667
180	Albanian	d j a θ t	d j a - θ t - -	673
181	Latin	d e k s t e r	d - e k s t e r	673
182	English	l a f	l a f	676
183	German	l a x	l a x	676
184	French	r i	r i - -	677
185	Latin	r iː d eː	r iː d eː	677
186	English	s ɪ ŋ	s ɪ ŋ	682
187	German	z i ŋ	z i ŋ	682
188	Albanian	k ə n d o	k ə n - d o	683
189	French	ʃ ɑ̃ t e	ʃ ɑ̃ - - t e	683
190	Latin	k a n i t	k a n i t -	683
191	English	θ ɪ k	θ ɪ k	687
192	German	d i k	d i k	687
193	French	n ɥ a ʒ	n - ɥ a ʒ	695
194	Latin	n uː b eː	n uː b eː -	695
195	English	b ai t	b ai t	711
196	German	b ai s	b ai s	711
197	French	m ɔ r	m ɔ r - -	712
198	Latin	m o r d eː	m o r d eː	712
199	English	ð ɛ r	ð ɛ r	717
200	German	d aː	d aː -	717
201	French	r ɛ s p i r e	r ɛ s p i r e	752
202	Latin	s p iː r aː	- - s p iː r aː	752
203	English	h ɛ d	h ɛ - - d	760
204	Latin	k a p u t	k a p u t	760
205	Albanian	p ə ʃ t y	- p ə ʃ t y	769
206	Latin	s p u e	s p u - - e	769
207	English	ð a t	ð a t	772
208	German	d a s	d a s	772
209	English	f ai ə r	f ai ə r	779
210	German	f oi ə r	f oi ə r	779
211	English	h ɪ r	h ɪ r	786
212	German	h øː r	h øː r	786
213	English	l ɪ v ə r	l ɪ v ə r	793
214	German	l eː b ə r	l eː b ə r	793
215	English	h o l d	h o l d	808
216	German	h a l t	h a l t	808
217	French	t ə n	t ə n -	809
218	Latin	t e n eː	t e n eː	809
219	English	s l i p	s l i p	827
220	German	ʃ l aː f	ʃ l aː f	827
221	French	d ɔ r	d ɔ r - -	828
222	Latin	d o r m iː	d o r m iː	828
223	English	f l ai	f l ai -	841
224	German	f l iː g	f l iː g	841
225	French	v ɔ l e	v ɔ l e	842
226	Latin	w o l aː	w o l aː	842
227	English	ð ɪ s	ð ɪ s	863
228	German	d iː z	d iː z	863
229	Albanian	d r e j t	d r - e j t -	871
230	French	d r w a t	d r w a - t -	871
231	Latin	r eː k t o	- r - eː k t o	871
232	English	n ɪ r	n ɪ r	889
233	German	n aː	n aː -	889
234	English	g r a s	g r a s	904
235	German	g r aː z	g r aː z	904
236	English	a n d	a n d	915
237	German	u n t	u n t	915
238	English	g ɪ v	g ɪ v	933
239	German	g eː b	g eː b	933
240	French	d ɔ n e	d ɔ n e	934
241	Latin	d a	d a - -	934
242	English	s e	s e -	939
243	German	z aː g	z aː g	939
244	French	d i	d i - -	940
245	Latin	d iː k e	d iː k e	940
246	English	s i d	s i - - d	945
247	German	z aː m ə n	z aː m ə n	945
248	Latin	s eː m i n	s eː m i n	945
249	English	ʃ a r p	ʃ a r p	961
250	German	ʃ a r f	ʃ a r f	961
251	French	s i	s i	969
252	Latin	s iː	s iː	969
253	English	l ai	l ai -	975
254	German	l iː g	l iː g	975
255	English	h ɑ t	h ɑ t	996
256	German	h ai s	h ai s	996
257	French	ʃ o d	ʃ o - - d -	997
258	Latin	k a l i d o	k a l i d o	997
259	English	ə ð ə r	ə - ð ə r	1002
260	German	a n d ə r	a n d ə r	1002
261	French	o t r	o t r - -	1003
262	Latin	a l i o	a - l i o	1003
263	French	v ɑ̃ t r	v ɑ̃ - t r	1009
264	Latin	w e n t r	w e n t r	1009
265	Albanian	l i ð	l i ð -	1025
266	Latin	l i g aː	l i g aː	1025
267	English	j u	j u -	1028
268	German	iː r	- iː r	1028
269	Albanian	j u	j u	1029
270	French	v u	v u	1029
271	Latin	w oː	w oː	1029
272	English	s t a n d	s t a n d	1041
273	German	ʃ t eː	ʃ t eː - -	1041
274	Latin	s t aː	s t aː - -	1041
275	English	s w ɛ l	s w ɛ l	1071
276	German	ʃ v e l	ʃ v e l	1071
277	English	d r ɪ ŋ k	d r ɪ ŋ k	1078
278	German	t r i ŋ k	t r i ŋ k	1078
279	English	r e n	r e - - n	1088
280	German	r eː g ə n	r eː g ə n	1088
281	French	p l ɥ i	p l - ɥ i -	1089
282	Latin	p l u w i a	p l u w i a	1089
283	English	h a n d	h a n d	1094
284	German	h a n d	h a n d	1094
285	French	m ɛ̃	m ɛ̃ - -	1095
286	Latin	m a n u	m a n u	1095
287	Albanian	p e m	p e m -	1102
288	Latin	p oː m o	p oː m o	1102
289	English	m au θ	m au - θ	1105
290	German	m u n d	m u n d	1105
291	English	b l ə d	b l ə d	1112
292	German	b l uː t	b l uː t	1112
293	French	s ɑ̃	s ɑ̃ - - - -	1113
294	Latin	s a n gʷ i n	s a n gʷ i n	1113
295	French	p u s j ɛ r	p u s j ɛ r	1119
296	Latin	p u l w i s	p u l w i s	1119
297	English	m a n	m a n	1143
298	German	m a n	m a n	1143
299	English	f l o	f l o -	1174
300	German	f l iː s	f l iː s	1174
301	English	g r i n	g r i n	1191
302	German	g r yː n	g r yː n	1191
303	French	v ɛ r t	v ɛ r - t -	1192
304	Latin	w i r i d i	w i r i d i	1192
305	Albanian	ʃ t y	ʃ t y -	1202
306	German	ʃ t oː s	ʃ t oː s	1202
307	English	p ʊ ʃ	p ʊ ʃ -	1203
308	French	p u s e	p u s e	1203
309	English	v ɑ m ə t	v ɑ m ə t	1209
310	French	v ɔ m i	v ɔ m i -	1209
311	Latin	w o m e	w o m e -	1209
312	French	ɛ l	ɛ l -	1227
313	Latin	aː l a	aː l a	1227
