COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
8951	m j ə t ¹			m j a t ¹										m j ə t ¹	m j a t ¹	
8158		v e ¹	p əi ¹										v e ¹	f əi ¹		
9402		ⁿd j a n ¹			ⁿd j a n ¹	ⁿd j a n ¹					ⁿd j a n ¹					ⁿd j a n ¹
2822		ȵ u ŋ ¹											ȵ u ŋ ¹			
8380	h o ¹		h o ¹					h o ¹	h o ¹	h o ¹				h o ¹	h o ¹	h o ¹
4358			p aːi ¹				p ai ¹	p aːi ¹	p aːi ¹	p aːi ¹	p aːi ¹		p aːi ¹			
5688	n̥ o ¹	n̥ õ ¹	n̥ o ¹		n̥ o ¹	n̥ o ¹				n̥ o ¹	n̥ o ¹	n̥ o ¹	n̥ o ¹	n̥ o ¹	n̥ o ¹	n̥ o ¹
3952	f u ŋ ¹	f u ŋ ¹	f u ŋ ¹	l u ŋ ¹						f u ŋ ¹			f u ŋ ¹	f u ŋ ¹	f u ŋ ¹	f u ŋ ¹
7262	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹		qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹
9806	t i n ¹	t i n ¹		t i n ¹			t i n ¹	t i n ¹	t i n ¹		t i n ¹		t i n ¹		t i n ¹	t i n ¹
8227	s a ¹	s a ¹	s a ¹	z a ¹		s a ¹		s a ¹	s a ¹	s a ¹	s a ¹	s a ¹	s a ¹	s a ¹	z a ¹	s a ¹
6420					ˀb j aː ŋ ¹	ˀb j aː ŋ ¹					ˀb j aː ŋ ¹	ˀm j e ŋ ¹	m aː ŋ ¹			
4881		v a ŋ ¹	l aː n ¹	l aː n ¹			l aː n ¹						v a ŋ ¹			
8449		k ə ¹													q ə ¹	
9368							ɕ j a ¹				s j e ¹					
6855				t au ¹			t au ¹									
1182				n a ¹			n a ¹									
8007				pʰ j u ¹			pʰ j o ŋ ¹	pʰ j u ŋ ¹	pʰ j o ŋ ¹		l j o ŋ ¹					
2590		n̥ aː ŋ ¹	n̥ aː ŋ ¹			n̥ aː ŋ ¹		h aː ŋ ¹	h aː ŋ ¹	n̥ aː ŋ ¹	n̥ aː ŋ ¹	n̥ o n ¹			n̥ aː ŋ ¹	
3625	k w aː k ¹		k w aː k ¹	k o k ¹			k w ə k ¹		k w aː k ¹	k w aː k ¹				k w aː k ¹	k w a k ¹	k w aː k ¹
3909	l a ŋ ¹	l a ŋ ¹								l a ŋ ¹				l a ŋ ¹		
1574				q oi ¹			q oi ¹									
9339		kʰ au ¹					kʰ au ¹									
5877		l au ¹											l au ¹			
6243		l i n ¹											l i n ¹			
816	ʔ u ¹	ʔ u ¹	ʔ u ¹	ʔ u ¹	ʔ u ¹	ʔ u ¹				ʔ u ¹		ʔ u ¹	ʔ u ¹			ʔ u ¹
9077					ʔ a ŋ ¹	ʔ a ŋ ¹					ʔ a ŋ ¹	ʔ a ŋ ¹				
7734		j aː m ¹	ʔ j aː m ¹		ʔ j aː m ¹	ʔ j aː m ¹		j aː m ¹	ʔ j aː m ¹	ʔ j aː m ¹	ʔ j aː m ¹	ʔ j aː m ¹		ʔ j aː m ¹	ʔ j a m ¹	ʔ j aː m ¹
1956					ˀȵ aː m ¹	ˀȵ aː m ¹				ˀȵ aː m ¹	ˀȵ aː m ¹	ˀȵ aː m ¹			ˀȵ aː m ¹	ˀȵ aː m ¹
10829	l u m ¹		l u m ¹	l u m ¹			l u m ¹						l u m ¹	l u m ¹	l u m ¹	l u m ¹
7100								kʰ a ŋ ¹	kʰ a ŋ ¹							
3912				ts u m ¹		s u m ¹		s u m ¹	s u m ¹			s ə m ¹				
6123		m j u ¹		m j u ¹			m j u ¹						m j u ¹		m j u ¹	
7503	ˀn e ¹	n e ¹		n e ¹			n e ¹						n e ¹	ˀn əi ¹	ˀn e ¹	ˀn e ¹
1933	ȵ i ¹		ȵ i ¹	ȵ i ¹	ȵ e ¹	ȵ e ¹	n i ¹	ȵ i ¹	ȵ i ¹	ȵ i ¹	ȵ e ¹	ȵ e ¹		ȵ i ¹	ȵ i ¹	ȵ i ¹
10482	j aːu ¹		j aːu ¹		j aːu ¹	j aːu ¹		j aːu ¹	j aːu ¹	j aːu ¹	j aːu ¹	j aːu ¹	j aːu ¹	j aːu ¹		j aːu ¹
9887	pʰ j a ¹	pʰ j a ¹	pʰ j a ¹			pʰ j a ¹	pʰ j a ¹	pʰ j a ¹	pʰ j a ¹	pʰ j a ¹			pʰ j a ¹	pʰ j a ¹	pʰ j a ¹	
4501							p o ŋ ¹						p o ŋ ¹			
9478					q e ¹	q e ¹					q e ¹	q e ¹				
3176	n aːu ¹			n aːu ¹										n aːu ¹		n aːu ¹
5602				p u ¹				p u ¹								
4236		ȶ au ¹		t a ¹												
5099	s aː n ¹		s aː n ¹		s aː n ¹	s aː n ¹		s aː n ¹	s aː n ¹	s aː n ¹	s aː n ¹	s aː n ¹		s aː n ¹	s aː n ¹	s aː n ¹
7420		p j a ¹					p j a ¹						p j a ¹			
6811					p e n ¹	p j ə ŋ ¹					p j ə ŋ ¹					
10331	f j e ¹													f j e ¹	f j a ¹	
3052										k ə ¹			k ə ¹			
4999	ˀd w ə ¹		d w a ¹	t j o ¹	ˀd a ¹	ˀd a ¹		d w a ¹	d w a ¹	ˀd w a ¹	ˀd a ¹	ˀd a ¹		ˀd o ¹	ˀd w a ¹	ˀd w a ¹
10448		l j eu ¹			ɬ o ¹										l j o ¹	
1712	ɕ a m ¹	kʰ a m ¹														
9202				p w ə t ¹	pʰ aː t ¹	pʰ aː t ¹	h aː t ¹				pʰ aː t ¹	h aː t ¹				
3859					t a ¹	t a ¹					t a ¹	t a ¹				
8108	ts ə t ¹	ȶ ə t ¹				ts ə t ¹	ȶ j a t ¹			ts ə t ¹	ts ə t ¹	ts ə t ¹	ȶ ə t ¹	ts ə t ¹	ts ə t ¹	ts ə t ¹
5568		kʰ a ¹			kʰ a ¹							kʰ a ¹				
5185	ˀn a m ¹	n a m ¹	ˀn a m ¹		ˀn a m ¹	ˀn a m ¹	n au ¹	n a m ¹	n a m ¹	ˀn a m ¹	ˀn a m ¹	ˀn a m ¹	n a m ¹	ˀn a m ¹	ˀn a m ¹	ˀn a m ¹
3051	ˀd j u p ¹	l j u p ¹				ˀd j u p ¹				ˀd j u p ¹			l j ʊ p ¹			
7419	ˀȵ a ¹		ˀȵ a ¹	n i ¹	ˀȵ a ¹	ˀȵ a ¹		ȵ a ¹	ȵ a ¹	ˀȵ a ¹	ˀȵ a ¹	ˀȵ a ¹		ˀȵ a ¹	ˀȵ a ¹	ˀȵ a ¹
1974					ts j u p ¹				s u p ¹		s u p ¹					
7903				s a ¹			s a ¹									
10170					l aːu ¹	l aːu ¹					l aːu ¹	l aːu ¹				
3840	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹		ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹	ŋ aː n ¹
2907	t a ¹	t a ¹								t a ¹				t a ¹	t a ¹	
4237					q a ¹	q a ¹					q a ¹	q a ¹				
7833	tʰ j a k ¹	tʰ j a k ¹	tʰ j a k ¹		tʰ j a k ¹	tʰ j a k ¹		tʰ j a k ¹	tʰ j a k ¹	tʰ j a k ¹	tʰ j a k ¹	tʰ j a k ¹	ⁿd j a k ¹	tʰ j a k ¹	tʰ j a k ¹	tʰ j a k ¹
4998	h aːi ¹		h aːi ¹		h aːi ¹	h aːi ¹		h aːi ¹	h aːi ¹	h aːi ¹	h aːi ¹	h aːi ¹		h aːi ¹	h aːi ¹	h aːi ¹
11112	ȵ e ¹	ȵ a ¹	ȵ a ¹	ȵ j e ¹	ȵ a ¹	ȵ a ¹	ȵ j a ¹	ȵ a ¹	ȵ a ¹	ȵ a ¹		ȵ a ¹		ȵ i ¹	ȵ j a ¹	ȵ a ¹
6809		k ə n ¹			k ə n ¹		k ə n ¹						k ə n ¹		k ə n ¹	
7120				v a ¹	ˀb a ¹			v a ¹	v a ¹		ˀb a ¹					
226			h j a ŋ ¹											ɕ a ŋ ¹		ɕ a ŋ ¹
1801					h u p ¹	h u p ¹					h u p ¹	h ə p ¹				
10543	ⁿd i n ¹	ⁿd i n ¹								ⁿd i n ¹			ⁿd i n ¹		ⁿd i n ¹	
5521					ts j u m ¹		ȶ u m ¹					ts ə m ¹				
5962				j i ¹												j i ¹
2248	f aːi ¹		f aːi ¹	f aːi ¹	f aːi ¹	f aːi ¹		f aːi ¹	f aːi ¹	f aːi ¹	f aːi ¹	f aːi ¹		f aːi ¹	f aːi ¹	f aːi ¹
9783					p a n ¹			p a n ¹	p a n ¹		p a n ¹					
3915						v j au ¹					v j au ¹					
1090				t a ¹	t a ¹	t a ¹	t a ¹			ȶ i ¹	t a ¹	t a ¹		t ə ¹		
8192			t o m ¹		t o m ¹	t o m ¹	t o m ¹		t o m ¹	t o m ¹	t o m ¹	t o m ¹		t o m ¹	t o m ¹	t o m ¹
1571	l o ¹				l o ¹						l o ¹	l o ¹				
7638	ȵ o n ¹	ȵ o n ¹		ȵ w ə n ¹		ȵ o n ¹	ȵ w ə n ¹			ȵ o n ¹		ȵ o n ¹	ȵ o n ¹	ȵ o n ¹	ȵ w a n ¹	ȵ o n ¹
8207	s j e ŋ ¹		ɕ aː ŋ ¹	ɕ i ŋ ¹	s j aː ŋ ¹	s j aː ŋ ¹	ɕ j ə ŋ ¹	s j aː ŋ ¹		s j aː ŋ ¹					s j a ŋ ¹	s j aː ŋ ¹
6159		k a ¹			k a ¹							k a ¹				
10507						s j aː ŋ ¹				s j aː ŋ ¹		s i ŋ ¹				
4707	ˀd j a k ¹	l j a k ¹	ⁿd j a k ¹		ˀd j a k ¹	ˀd j a k ¹		ⁿd j a k ¹	ⁿd j a k ¹	ˀd j a k ¹	ˀd j a k ¹	ˀd j a k ¹	l j a k ¹	ˀd j a k ¹	ˀd j a k ¹	
8124	pʰ j aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹		pʰ j aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹	pʰ aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹	pʰ j aː m ¹
344		kʰ a m ¹	h j a m ¹	h j a m ¹						ɕ a m ¹	qʰ a m ¹	qʰ a m ¹	ɕ a m ¹	ɕ a m ¹	ɕ a m ¹	ɕ a m ¹
7032											t a ŋ ¹	t a ŋ ¹				
9366				h a ¹								h au ¹				
8140	n̥ j a p ¹		n̥ j a p ¹		ˀn j a p ¹	n̥ j a p ¹	h j a p ¹		pʰ j a p ¹	n̥ j a p ¹	n̥ j a p ¹	n̥ j a p ¹		n̥ j a p ¹		n̥ j a p ¹
3181										s j e ¹	s j e ¹					
6856					j j u ¹	j j u ¹					j j u ¹	j u ¹				
1955			n aː n ¹	n aː n ¹				n aː n ¹	n aː n ¹							
8954					ɣ ai ¹	ɣ ai ¹					ɣ ai ¹	ɣ ai ¹				
9703	l ui ¹		l ui ¹					l ui ¹	l ui ¹	l ui ¹				l ui ¹	l ui ¹	l ui ¹
8548	q o n ¹	q o n ¹	q o n ¹				ȶ o n ¹			q o n ¹	q o n ¹		q o n ¹	q o n ¹	q o n ¹	q o n ¹
3351	t a ¹	t ə ¹	t e ¹	t e ¹		t e ¹		t e ¹	t e ¹		t e ¹		t ə ¹	t a ¹	t a ¹	t a ¹
4538						f u ¹				f u ¹				f u ¹	f u ¹	
2995							n au ¹	n aːu ¹	n aːu ¹							
6070	ⁿd e ¹	ⁿd e ¹	ⁿd e ¹	ⁿd e ¹	ⁿd e ¹	ⁿd e ¹		ⁿd e ¹	ⁿd e ¹	ⁿd e ¹			ⁿd e ¹	ⁿd əi ¹	ⁿd e ¹	ⁿd e ¹
8565	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹		f u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹	h u ŋ ¹
2725				h̃ j u ¹			h̃ j u ¹									
3318		f u ¹											f u ¹			
6452					ʁ a ¹	ʁ a ¹					ʁ a ¹	ʁ a ¹				
5981	l u ¹	l u ¹	l u ¹			l o ¹			l u ¹	l u ¹	l u ¹		l u ¹	l u ¹	l u ¹	l u ¹
4041								ts u m ¹	ts u m ¹							
2412	ˀd i ¹		ⁿd i ¹	ⁿd i ¹			ⁿd i ¹	ⁿd i ¹	ⁿd i ¹	ˀd i ¹				ˀd i ¹	ˀd i ¹	ˀd i ¹
9114	l i ¹		l i ¹	l i ¹			l i ¹									l i ¹
6260		t au ¹	t au ¹		t au ¹	t au ¹		t au ¹	t au ¹	t au ¹	t au ¹	t au ¹		t au ¹	t au ¹	t au ¹
9953					ˀd j o ¹						ˀd j o ¹	ˀd j o ¹				
9704		f aːi ¹		f aːi ¹									f aːi ¹			
3298								ŋ au ¹	ŋ a ¹							
7000		ȵ a ¹	ˀȵ a ¹			ˀȵ a ¹		ȵ a ¹	ȵ a ¹	ˀȵ a ¹	ˀȵ a ¹		ȵ a ¹		ˀȵ a ¹	
8382				h j u ¹			h j u ¹									
5826						h u ¹					h u ¹					
8381		kʰ u ¹			qʰ o ¹	qʰ o ¹					qʰ o ¹	qʰ o ¹				
10371		t i ¹		t a ¹		t i ¹	t ai ¹	t i ¹	t i ¹		t i ¹		t i ¹		t i ¹	
