index	index_p	rindex	rindex_p	cogid	id_Eryuan	segment_Eryuan	segment_Eryuan_L1	segment_Eryuan_L2	segment_Eryuan_L3	segment_Eryuan_R1	segment_Eryuan_R2	segment_Eryuan_R3	SC_Eryuan	SC_Eryuan_L1	SC_Eryuan_L2	SC_Eryuan_L3	SC_Eryuan_R1	SC_Eryuan_R2	SC_Eryuan_R3	PROSODY_Eryuan	PROSODY_Eryuan_L1	PROSODY_Eryuan_L2	PROSODY_Eryuan_L3	PROSODY_Eryuan_R1	PROSODY_Eryuan_R2	PROSODY_Eryuan_R3	id_Heqing	segment_Heqing	segment_Heqing_L1	segment_Heqing_L2	segment_Heqing_L3	segment_Heqing_R1	segment_Heqing_R2	segment_Heqing_R3	SC_Heqing	SC_Heqing_L1	SC_Heqing_L2	SC_Heqing_L3	SC_Heqing_R1	SC_Heqing_R2	SC_Heqing_R3	PROSODY_Heqing	PROSODY_Heqing_L1	PROSODY_Heqing_L2	PROSODY_Heqing_L3	PROSODY_Heqing_R1	PROSODY_Heqing_R2	PROSODY_Heqing_R3	id_Jianchuan	segment_Jianchuan	segment_Jianchuan_L1	segment_Jianchuan_L2	segment_Jianchuan_L3	segment_Jianchuan_R1	segment_Jianchuan_R2	segment_Jianchuan_R3	SC_Jianchuan	SC_Jianchuan_L1	SC_Jianchuan_L2	SC_Jianchuan_L3	SC_Jianchuan_R1	SC_Jianchuan_R2	SC_Jianchuan_R3	PROSODY_Jianchuan	PROSODY_Jianchuan_L1	PROSODY_Jianchuan_L2	PROSODY_Jianchuan_L3	PROSODY_Jianchuan_R1	PROSODY_Jianchuan_R2	PROSODY_Jianchuan_R3	id_Lanping	segment_Lanping	segment_Lanping_L1	segment_Lanping_L2	segment_Lanping_L3	segment_Lanping_R1	segment_Lanping_R2	segment_Lanping_R3	SC_Lanping	SC_Lanping_L1	SC_Lanping_L2	SC_Lanping_L3	SC_Lanping_R1	SC_Lanping_R2	SC_Lanping_R3	PROSODY_Lanping	PROSODY_Lanping_L1	PROSODY_Lanping_L2	PROSODY_Lanping_L3	PROSODY_Lanping_R1	PROSODY_Lanping_R2	PROSODY_Lanping_R3	id_Luobenzhuo	segment_Luobenzhuo	segment_Luobenzhuo_L1	segment_Luobenzhuo_L2	segment_Luobenzhuo_L3	segment_Luobenzhuo_R1	segment_Luobenzhuo_R2	segment_Luobenzhuo_R3	SC_Luobenzhuo	SC_Luobenzhuo_L1	SC_Luobenzhuo_L2	SC_Luobenzhuo_L3	SC_Luobenzhuo_R1	SC_Luobenzhuo_R2	SC_Luobenzhuo_R3	PROSODY_Luobenzhuo	PROSODY_Luobenzhuo_L1	PROSODY_Luobenzhuo_L2	PROSODY_Luobenzhuo_L3	PROSODY_Luobenzhuo_R1	PROSODY_Luobenzhuo_R2	PROSODY_Luobenzhuo_R3	id_Qiliqiao	segment_Qiliqiao	segment_Qiliqiao_L1	segment_Qiliqiao_L2	segment_Qiliqiao_L3	segment_Qiliqiao_R1	segment_Qiliqiao_R2	segment_Qiliqiao_R3	SC_Qiliqiao	SC_Qiliqiao_L1	SC_Qiliqiao_L2	SC_Qiliqiao_L3	SC_Qiliqiao_R1	SC_Qiliqiao_R2	SC_Qiliqiao_R3	PROSODY_Qiliqiao	PROSODY_Qiliqiao_L1	PROSODY_Qiliqiao_L2	PROSODY_Qiliqiao_L3	PROSODY_Qiliqiao_R1	PROSODY_Qiliqiao_R2	PROSODY_Qiliqiao_R3	id_Xiangyun	segment_Xiangyun	segment_Xiangyun_L1	segment_Xiangyun_L2	segment_Xiangyun_L3	segment_Xiangyun_R1	segment_Xiangyun_R2	segment_Xiangyun_R3	SC_Xiangyun	SC_Xiangyun_L1	SC_Xiangyun_L2	SC_Xiangyun_L3	SC_Xiangyun_R1	SC_Xiangyun_R2	SC_Xiangyun_R3	PROSODY_Xiangyun	PROSODY_Xiangyun_L1	PROSODY_Xiangyun_L2	PROSODY_Xiangyun_L3	PROSODY_Xiangyun_R1	PROSODY_Xiangyun_R2	PROSODY_Xiangyun_R3	id_Yunlong	segment_Yunlong	segment_Yunlong_L1	segment_Yunlong_L2	segment_Yunlong_L3	segment_Yunlong_R1	segment_Yunlong_R2	segment_Yunlong_R3	SC_Yunlong	SC_Yunlong_L1	SC_Yunlong_L2	SC_Yunlong_L3	SC_Yunlong_R1	SC_Yunlong_R2	SC_Yunlong_R3	PROSODY_Yunlong	PROSODY_Yunlong_L1	PROSODY_Yunlong_L2	PROSODY_Yunlong_L3	PROSODY_Yunlong_R1	PROSODY_Yunlong_R2	PROSODY_Yunlong_R3	id_Zhoucheng	segment_Zhoucheng	segment_Zhoucheng_L1	segment_Zhoucheng_L2	segment_Zhoucheng_L3	segment_Zhoucheng_R1	segment_Zhoucheng_R2	segment_Zhoucheng_R3	SC_Zhoucheng	SC_Zhoucheng_L1	SC_Zhoucheng_L2	SC_Zhoucheng_L3	SC_Zhoucheng_R1	SC_Zhoucheng_R2	SC_Zhoucheng_R3	PROSODY_Zhoucheng	PROSODY_Zhoucheng_L1	PROSODY_Zhoucheng_L2	PROSODY_Zhoucheng_L3	PROSODY_Zhoucheng_R1	PROSODY_Zhoucheng_R2	PROSODY_Zhoucheng_R3
3	1.0000	1	0.3333	54	13	⁴⁴	ɔ	t	∅	∅	∅	∅	_	U	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																																																			14	⁵⁵	o	t	∅	∅	∅	∅	_	U	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	15	⁴⁴	o	t	∅	∅	∅	∅	_	U	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													16	³³	o	t	∅	∅	∅	∅	_	U	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	108	17	ɲ	∅	∅	∅	ɯ	⁴²	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅	18	j	∅	∅	∅	ɯ̃	⁴²	∅	J	∅	∅	∅	I	_	∅	6	∅	∅	∅	7	0	∅	19	j	∅	∅	∅	ɯ̃	⁴²	∅	J	∅	∅	∅	I	_	∅	6	∅	∅	∅	7	0	∅	20	j	∅	∅	∅	ɯ̃	⁴²	∅	J	∅	∅	∅	I	_	∅	6	∅	∅	∅	7	0	∅																																																																			21	ɲ	∅	∅	∅	ɯ	⁴²	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅	22	ɲ	∅	∅	∅	ɯ	³²	∅	N	∅	∅	∅	I	_	∅	4	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	108	17	ɯ	ɲ	∅	∅	⁴²	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	18	ɯ̃	j	∅	∅	⁴²	∅	∅	I	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅	19	ɯ̃	j	∅	∅	⁴²	∅	∅	I	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅	20	ɯ̃	j	∅	∅	⁴²	∅	∅	I	J	∅	∅	_	∅	∅	7	6	∅	∅	0	∅	∅																																																																			21	ɯ	ɲ	∅	∅	⁴²	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅	22	ɯ	ɲ	∅	∅	³²	∅	∅	I	N	∅	∅	_	∅	∅	7	4	∅	∅	0	∅	∅
3	1.0000	1	0.3333	108	17	⁴²	ɯ	ɲ	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	18	⁴²	ɯ̃	j	∅	∅	∅	∅	_	I	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅	19	⁴²	ɯ̃	j	∅	∅	∅	∅	_	I	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅	20	⁴²	ɯ̃	j	∅	∅	∅	∅	_	I	J	∅	∅	∅	∅	0	7	6	∅	∅	∅	∅																																																																			21	⁴²	ɯ	ɲ	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅	22	³²	ɯ	ɲ	∅	∅	∅	∅	_	I	N	∅	∅	∅	∅	0	7	4	∅	∅	∅	∅
1	0.3333	3	1.0000	109																																																																																									23	ʈʂ	∅	∅	∅	æ	⁵⁵	∅	C	∅	∅	∅	E	_	∅	2	∅	∅	∅	7	0	∅																							24	tɕ	∅	∅	∅	ɛ	⁴⁴	∅	C	∅	∅	∅	E	_	∅	2	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	109																																																																																									23	æ	ʈʂ	∅	∅	⁵⁵	∅	∅	E	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																							24	ɛ	tɕ	∅	∅	⁴⁴	∅	∅	E	C	∅	∅	_	∅	∅	7	2	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	109																																																																																									23	⁵⁵	æ	ʈʂ	∅	∅	∅	∅	_	E	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅																							24	⁴⁴	ɛ	tɕ	∅	∅	∅	∅	_	E	C	∅	∅	∅	∅	0	7	2	∅	∅	∅	∅																																												
1	0.3333	3	1.0000	138	25	l	∅	∅	∅	a	⁴⁴	∅	L	∅	∅	∅	A	_	∅	5	∅	∅	∅	7	0	∅	26	l	∅	∅	∅	a	⁴⁴	∅	L	∅	∅	∅	A	_	∅	5	∅	∅	∅	7	0	∅																																																																																									27	l	∅	∅	∅	a	⁴⁴	∅	L	∅	∅	∅	A	_	∅	5	∅	∅	∅	7	0	∅																																												
2	0.6667	2	0.6667	138	25	a	l	∅	∅	⁴⁴	∅	∅	A	L	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅	26	a	l	∅	∅	⁴⁴	∅	∅	A	L	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅																																																																																									27	a	l	∅	∅	⁴⁴	∅	∅	A	L	∅	∅	_	∅	∅	7	5	∅	∅	0	∅	∅																																												
3	1.0000	1	0.3333	138	25	⁴⁴	a	l	∅	∅	∅	∅	_	A	L	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅	26	⁴⁴	a	l	∅	∅	∅	∅	_	A	L	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅																																																																																									27	⁴⁴	a	l	∅	∅	∅	∅	_	A	L	∅	∅	∅	∅	0	7	5	∅	∅	∅	∅																																												
1	0.2500	4	1.0000	139																																													28	s	∅	∅	∅	-	ẽ	³³	S	∅	∅	∅	_	E	_	3	∅	∅	∅	0	7	0	29	s	∅	∅	∅	w	ẽ	³³	S	∅	∅	∅	W	E	_	3	∅	∅	∅	6	7	0																																																																																																														
2	0.5000	3	0.7500	139																																													28	-	s	∅	∅	ẽ	³³	∅	_	S	∅	∅	E	_	∅	0	3	∅	∅	7	0	∅	29	w	s	∅	∅	ẽ	³³	∅	W	S	∅	∅	E	_	∅	6	3	∅	∅	7	0	∅																																																																																																														
3	0.7500	2	0.5000	139																																													28	ẽ	-	s	∅	³³	∅	∅	E	_	S	∅	_	∅	∅	7	0	3	∅	0	∅	∅	29	ẽ	w	s	∅	³³	∅	∅	E	W	S	∅	_	∅	∅	7	6	3	∅	0	∅	∅																																																																																																														
4	1.0000	1	0.2500	139																																													28	³³	ẽ	-	s	∅	∅	∅	_	E	_	S	∅	∅	∅	0	7	0	3	∅	∅	∅	29	³³	ẽ	w	s	∅	∅	∅	_	E	W	S	∅	∅	∅	0	7	6	3	∅	∅	∅																																																																																																														
1	0.3333	3	1.0000	141																																																																																																															30	t	∅	∅	∅	e	³³	∅	T	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																																													31	t	∅	∅	∅	ɛ	³³	∅	T	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	141																																																																																																															30	e	t	∅	∅	³³	∅	∅	E	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													31	ɛ	t	∅	∅	³³	∅	∅	E	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	141																																																																																																															30	³³	e	t	∅	∅	∅	∅	_	E	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													31	³³	ɛ	t	∅	∅	∅	∅	_	E	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.3333	3	1.0000	149																																																																																									32	t	∅	∅	∅	ɯ̃	³¹	∅	T	∅	∅	∅	I	_	∅	1	∅	∅	∅	7	0	∅																																													33	d	∅	∅	∅	ɔ	³¹	∅	T	∅	∅	∅	U	_	∅	1	∅	∅	∅	7	0	∅																						
2	0.6667	2	0.6667	149																																																																																									32	ɯ̃	t	∅	∅	³¹	∅	∅	I	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																																													33	ɔ	d	∅	∅	³¹	∅	∅	U	T	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																						
3	1.0000	1	0.3333	149																																																																																									32	³¹	ɯ̃	t	∅	∅	∅	∅	_	I	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																																													33	³¹	ɔ	d	∅	∅	∅	∅	_	U	T	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																						
1	0.2500	4	1.0000	180	34	tɕʰ	∅	∅	∅	-	ɔ	⁵⁵	C	∅	∅	∅	_	U	_	2	∅	∅	∅	0	7	0	35	ts	∅	∅	∅	-	a	³⁵	C	∅	∅	∅	_	A	_	2	∅	∅	∅	0	7	0	36	ts	∅	∅	∅	-	a	³⁵	C	∅	∅	∅	_	A	_	2	∅	∅	∅	0	7	0	37	tɕʰ	∅	∅	∅	-	ɛ̃	⁵⁵	C	∅	∅	∅	_	E	_	2	∅	∅	∅	0	7	0	38	d	∅	∅	∅	-	a	⁵⁵	T	∅	∅	∅	_	A	_	1	∅	∅	∅	0	7	0																							39	tɕʰ	∅	∅	∅	w	ɛ	⁵⁵	C	∅	∅	∅	W	E	_	2	∅	∅	∅	6	7	0	40	ts	∅	∅	∅	-	a	⁵⁵	C	∅	∅	∅	_	A	_	2	∅	∅	∅	0	7	0																						
2	0.5000	3	0.7500	180	34	-	tɕʰ	∅	∅	ɔ	⁵⁵	∅	_	C	∅	∅	U	_	∅	0	2	∅	∅	7	0	∅	35	-	ts	∅	∅	a	³⁵	∅	_	C	∅	∅	A	_	∅	0	2	∅	∅	7	0	∅	36	-	ts	∅	∅	a	³⁵	∅	_	C	∅	∅	A	_	∅	0	2	∅	∅	7	0	∅	37	-	tɕʰ	∅	∅	ɛ̃	⁵⁵	∅	_	C	∅	∅	E	_	∅	0	2	∅	∅	7	0	∅	38	-	d	∅	∅	a	⁵⁵	∅	_	T	∅	∅	A	_	∅	0	1	∅	∅	7	0	∅																							39	w	tɕʰ	∅	∅	ɛ	⁵⁵	∅	W	C	∅	∅	E	_	∅	6	2	∅	∅	7	0	∅	40	-	ts	∅	∅	a	⁵⁵	∅	_	C	∅	∅	A	_	∅	0	2	∅	∅	7	0	∅																						
